delegation_id,unit,max_individual,possible_total,possible_individual,delegates,final_total,scriptURL
1,Abingdon High School,5,16,5,0,0,https://script.google.com/a/vayd.org/...
2,Albermale High School,5,14,5,1,5,https://script.google.com/a/vayd.org/...
3,Alexandria,4.85714,34,5,7,34,https://script.google.com/a/vayd.org/...
4,Arlington,2.34483,68,5,29,68,https://script.google.com/a/vayd.org/...
6,Chesterfield,3.5,21,5,6,21,https://script.google.com/a/vayd.org/...
7,Fairfax,3.88889,70,5,18,70,https://script.google.com/a/vayd.org/...
8,Fairfax High School,5,19,5,1,5,https://script.google.com/a/vayd.org/...
9,Falls Church,5,14,5,2,10,https://script.google.com/a/vayd.org/...
10,George Mason University,4.85714,34,5,7,34,https://script.google.com/a/vayd.org/...
12,Hampton Roads,5,14,5,1,5,https://script.google.com/a/vayd.org/...
13,James Madison University,5,21,5,0,0,https://script.google.com/a/vayd.org/...
14,Lake Braddock High School,5,25,5,1,5,https://script.google.com/a/vayd.org/...
15,Marshall High School,5,56,5,9,45,https://script.google.com/a/vayd.org/...
16,McLean High School,5,25,5,4,20,https://script.google.com/a/vayd.org/...
17,Metro Richmond Area,2.85714,40,5,14,40,https://script.google.com/a/vayd.org/...
18,Monticello High School,5,24,5,2,10,https://script.google.com/a/vayd.org/...
19,Oakton,5,19,5,1,5,https://script.google.com/a/vayd.org/...
20,Orange County,5,16,5,3,15,https://script.google.com/a/vayd.org/...
21,Prince William County,3,21,5,7,21,https://script.google.com/a/vayd.org/...
22,Princess Anne High School,5,15,5,2,10,https://script.google.com/a/vayd.org/...
23,South Lake High School,5,29,5,3,15,https://script.google.com/a/vayd.org/...
24,Springfield (Teen chapter),5,14,5,1,5,https://script.google.com/a/vayd.org/...
25,Staunton Augusta Waynesboro,5,14,5,1,5,https://script.google.com/a/vayd.org/...
26,University of Mary Washington,3.5,14,5,4,14,https://script.google.com/a/vayd.org/...
27,Virginia Tech,5,34,5,3,15,https://script.google.com/a/vayd.org/...
28,Washington-Liberty High School,5,23,5,0,0,https://script.google.com/a/vayd.org/...
30,Western Albermale High School,5,33,5,1,5,https://script.google.com/a/vayd.org/...
31,William & Mary,5,29,5,3,15,https://script.google.com/a/vayd.org/...
32,Yorktown High School,5,24,5,3,15,https://script.google.com/a/vayd.org/...
33,At Large,5,1,5,0,0,https://script.google.com/a/vayd.org/...
